transaction_id,time,account_id,provider_id,amount_bdt,type,status,customer_phone,counterparty_account,description,channel,fee_bdt,commission_bdt,agent_name
4d572313-ef10-4887-91c8-16d1c378f2fa,2026-04-13 12:29:19,bf7c9de4-b6c1-49c7-b28e-78e6cbeb5b27,d434c15c-027e-4cf1-b07a-4ec66fb3b22d,15094.15,send_money,reversed,01782238741,CP-883826,Send Money at Nusrat Digital Center,app,226.41,0.0,Nusrat Digital Center
af9b617e-c4e1-4739-96d0-18c08ead3517,2026-04-13 14:31:08,836f81df-f2fb-4d4b-ad1e-a32d86e817ed,6cbd13a6-e3ea-40d9-8fb5-374ec9d72325,16848.11,send_money,completed,01669085720,CP-450996,Send Money at Abdul Cash Point,ivr,252.72,0.0,Abdul Cash Point
02be4162-c46c-4a98-aa79-863412d120d1,2026-04-14 10:30:44,111ab04b-46e1-4e9d-ab1e-ba4b8809ddc7,d434c15c-027e-4cf1-b07a-4ec66fb3b22d,8715.78,payment,completed,01373013961,CP-919488,Payment at Imran Communication,agent_device,0.0,0.0,Imran Communication
45223d62-d87c-4893-8a3c-455b3182938b,2026-04-15 09:03:41,dce51b58-06e8-4672-8949-371ce0c5337c,6cbd13a6-e3ea-40d9-8fb5-374ec9d72325,1707.23,top_up,pending,01596926431,,Top Up at Habib Telecom,ussd,0.0,0.0,Habib Telecom
3fa91d76-d2eb-4eca-9cc4-50d2c7ee5cf8,2026-04-16 00:18:52,2064cee1-2e64-4e75-8297-caf2267534fb,adc9bbd6-1cb3-4ff8-b396-cc6b132740b9,638.49,bill_payment,completed,01752103092,,Bill Payment at Imran Communication,ivr,0.0,0.0,Imran Communication
48ee43be-785f-4c71-b15d-c3e8652a14e4,2026-04-16 13:27:37,42297c6c-3b85-48b4-b79c-56485019817a,d434c15c-027e-4cf1-b07a-4ec66fb3b22d,1205.4,payment,completed,01828208520,CP-507524,Payment at Fatema Electronics,ivr,0.0,0.0,Fatema Electronics
b85c9ead-0767-49fd-920c-922c867ce4a4,2026-04-17 01:26:40,b19d437d-03c6-40d2-a70a-039a8f9f6e68,6cbd13a6-e3ea-40d9-8fb5-374ec9d72325,12335.54,send_money,completed,01695828117,CP-929924,Send Money at Rina Gift House,ussd,185.03,0.0,Rina Gift House
b1926be0-78b9-446e-9ae0-e8577bef7820,2026-04-17 11:59:52,d2e59588-114f-4a71-be6a-e0c1365ccabc,adc9bbd6-1cb3-4ff8-b396-cc6b132740b9,3389.58,bill_payment,reversed,01852779814,,Bill Payment at Momena Bazar,ivr,0.0,0.0,Momena Bazar
4a993b02-bd8a-4135-99ad-4c217906426a,2026-04-17 19:46:02,00b2564e-af0f-449f-a4e8-2937c331d9fc,d434c15c-027e-4cf1-b07a-4ec66fb3b22d,23094.86,cash_in,reversed,01799600766,,Cash In at Anwar Digital Point,agent_device,0.0,115.47,Anwar Digital Point
93cd29ca-0e43-4401-908c-332c2706e604,2026-04-17 20:36:23,836b7810-7f10-4d11-aa2b-429d0b40d3b4,6cbd13a6-e3ea-40d9-8fb5-374ec9d72325,29670.22,cash_out,reversed,01837542226,,Cash Out at Shireen Mobile Shop,ussd,445.05,0.0,Shireen Mobile Shop
11613f42-03f8-40a2-83aa-22220ba65ed2,2026-04-18 22:55:34,dc79f40b-1465-46fe-9859-ebeb0bd1f792,adc9bbd6-1cb3-4ff8-b396-cc6b132740b9,19649.47,send_money,completed,01896721710,CP-280941,Send Money at Shireen Mobile Shop,ussd,294.74,0.0,Shireen Mobile Shop
5e6f5e25-32a4-4c96-bd1a-7e82e7c7aa1f,2026-04-19 01:47:05,40299b26-cbc8-4cae-bc85-f9053fe6a709,adc9bbd6-1cb3-4ff8-b396-cc6b132740b9,417.99,payment,completed,01336772387,CP-143941,Payment at Alamgir Cash Center,agent_device,0.0,0.0,Alamgir Cash Center
87bba5ba-d725-41c9-8f9e-6a828b0149ed,2026-04-19 04:24:50,65f09dc3-c7de-4c13-a574-918d70ca7081,adc9bbd6-1cb3-4ff8-b396-cc6b132740b9,10897.96,send_money,completed,01337760841,CP-973349,Send Money at Rubina Electronics,ivr,163.47,0.0,Rubina Electronics
e7d2563f-6994-48a0-b353-18690bbe8d8a,2026-04-20 00:47:22,804cbfd4-abdb-4dfa-bf0c-d3fe2ca63004,adc9bbd6-1cb3-4ff8-b396-cc6b132740b9,13468.36,cash_out,completed,01737383505,,Cash Out at Karim Telecom,agent_device,202.03,0.0,Karim Telecom
